Customer_ID,Customer_Name,Age_Group,Gender,City,Join_Date,Loyalty_Status,Acquisition_Channel
CUST-10001,Faqid Sani,18-25,Male,Chennai,2024-10-17,Bronze,Organic
CUST-10002,Oni Kulkarni,18-25,Male,Mumbai,2025-01-06,Silver,Referral
CUST-10003,Ria Subramanian,36-45,Male,Chennai,2022-11-28,Gold,Organic
CUST-10004,Warjas Roy,26-35,Male,Mumbai,2021-03-30,Bronze,Google Ads
CUST-10005,Qadim Yohannan,26-35,Female,Bengaluru,2024-03-28,Silver,Marketplace
CUST-10006,Odika Loke,60+,Female,Jaipur,2023-07-18,Gold,Google Ads
CUST-10007,Hemangini Sheth,26-35,Female,Delhi,2021-12-17,Silver,Referral
CUST-10008,Champak Chakrabarti,46-60,Female,Delhi,2025-04-23,Bronze,Google Ads
CUST-10009,Januja Tandon,26-35,Male,Bengaluru,2022-10-07,Gold,Marketplace
CUST-10010,Vritti Gera,18-25,Male,Chennai,2025-03-10,Silver,Referral
CUST-10011,Upma Mangal,60+,Female,Delhi,2021-08-13,Bronze,Instagram Ads
CUST-10012,Omaja Vasa,26-35,Female,Chennai,2024-02-08,Bronze,Google Ads
CUST-10013,Osha Khanna,26-35,Male,Ahmedabad,2023-06-10,Silver,
CUST-10014,Veda Narain,60+,Female,Ahmedabad,2024-07-04,Bronze,Instagram Ads
CUST-10015,Bhavika Grover,36-45,Female,Delhi,2021-01-02,Silver,Referral
CUST-10016,Yashoda Handa,60+,Female,Bengaluru,2024-03-07,Bronze,Google Ads
CUST-10017,Oviya Dutta,36-45,Female,Mumbai,2024-01-31,Bronze,Referral
CUST-10018,Balvan Devi,46-60,Female,Chandigarh,2023-03-29,Silver,Organic
CUST-10019,Samaksh Chopra,18-25,Male,Pune,2022-04-17,Bronze,
CUST-10020,Hritik Deep,18-25,Male,Mumbai,2022-07-25,Bronze,Referral
CUST-10021,Xavier Dani,26-35,Male,Bhopal,2022-01-25,Silver,Organic
CUST-10022,Nilima Narula,46-60,Male,Hyderabad,2021-05-05,Silver,Organic
CUST-10023,Ubika Karan,18-25,Male,Delhi,2022-05-27,Bronze,Google Ads
CUST-10024,Warda Chada,18-25,Female,Lucknow,2021-07-11,Bronze,Instagram Ads
CUST-10025,Aishani Karpe,18-25,Male,Hyderabad,2023-03-11,Bronze,Google Ads
CUST-10026,Jonathan Thakur,46-60,Other,Hyderabad,2021-11-14,Silver,Organic
CUST-10027,Bimala Bala,18-25,Male,Jaipur,2025-10-13,Bronze,Referral
CUST-10028,Barkha Viswanathan,18-25,Male,Lucknow,2025-12-29,Gold,Google Ads
CUST-10029,Janani Parsa,36-45,Female,Mumbai,2024-10-03,Bronze,Google Ads
CUST-10030,Mahika Chander,26-35,Male,Ahmedabad,2023-07-28,Silver,Instagram Ads
CUST-10031,Vansha Madan,26-35,Male,Pune,2022-05-16,Bronze,Instagram Ads
CUST-10032,Jasmit Loke,36-45,Other,Ahmedabad,2025-08-01,Silver,Instagram Ads
CUST-10033,Eta Natt,26-35,Female,Lucknow,2022-08-01,Silver,Instagram Ads
CUST-10034,Geetika Mangat,26-35,Male,Chennai,2021-07-09,Gold,Organic
CUST-10035,Balendra Singhal,18-25,Female,Bengaluru,2024-12-16,Bronze,
CUST-10036,Bhavini Karnik,46-60,Female,Indore,2021-10-31,Gold,Referral
CUST-10037,Ikbal Kibe,60+,Male,Bhopal,2024-09-27,Bronze,Organic
CUST-10038,Ayaan De,36-45,Male,Hyderabad,2025-06-27,Gold,Marketplace
CUST-10039,Abhiram Virk,26-35,Female,Jaipur,2025-07-19,Gold,Marketplace
CUST-10040,Sarthak Lala,18-25,Male,Bengaluru,2022-12-18,Bronze,Marketplace
CUST-10041,Kala Baria,18-25,Male,Mumbai,2022-07-26,Gold,Marketplace
CUST-10042,Finn Lad,26-35,Male,Lucknow,2024-04-04,Gold,Google Ads
CUST-10043,Mugdha Bali,36-45,Male,Hyderabad,2023-02-28,Silver,Referral
CUST-10044,Jasmit Sethi,26-35,Female,Hyderabad,2025-02-18,Silver,Marketplace
CUST-10045,Ojasvi Khare,26-35,Male,Ahmedabad,2022-09-08,Gold,Organic
CUST-10046,Jatin Deep,26-35,Male,Ahmedabad,2025-03-13,Silver,Google Ads
CUST-10047,Dayamai Dhar,18-25,Male,Pune,2024-09-02,Bronze,Referral
CUST-10048,Agastya Doshi,36-45,Female,Pune,2022-08-05,Silver,Organic
CUST-10049,Jeevika Savant,36-45,Female,Kolkata,2021-02-20,Bronze,Instagram Ads
CUST-10050,Forum Mittal,26-35,Female,Jaipur,2023-02-26,Silver,Organic
CUST-10051,Imaran Vasa,36-45,Female,Mumbai,2021-12-27,Bronze,Google Ads
CUST-10052,Radha Sabharwal,46-60,Male,Pune,2023-12-24,Bronze,Referral
CUST-10053,Ishita Panchal,36-45,Female,Indore,2024-01-28,Bronze,Organic
CUST-10054,Widisha Golla,36-45,Female,Hyderabad,2023-09-20,Bronze,Organic
CUST-10055,Wakeeta Salvi,26-35,Male,Bengaluru,2022-04-19,Bronze,Instagram Ads
CUST-10056,Waida Garg,26-35,Male,Hyderabad,2023-03-09,Bronze,Organic
CUST-10057,Jairaj De,36-45,Male,Lucknow,2025-03-24,Bronze,Google Ads
CUST-10058,Radha Viswanathan,36-45,Female,Pune,2022-07-13,Gold,Referral
CUST-10059,Pranav Pandey,26-35,Male,Ahmedabad,2024-06-28,Bronze,Instagram Ads
CUST-10060,Hemang Sidhu,18-25,Male,Ahmedabad,2022-06-17,Gold,Instagram Ads
CUST-10061,Nihal Ghose,26-35,Female,Jaipur,2021-06-17,Gold,Google Ads
CUST-10062,Vrishti Dave,26-35,Male,Patna,2021-03-05,Platinum,Instagram Ads
